Modelo,MAE_CV_medio,RMSE_CV_medio
Ridge,133.61207193915882,169.4349130878137
Random Forest,135.37848562612874,171.18027010946656
Extra Trees,149.78873628482427,184.82406847909104
HistGradientBoosting,163.13941926400105,203.1732165000041
Regressão Linear,184.9867514252483,248.41132027757047
