Modelo,MAE_CV_medio,RMSE_CV_medio
Extra Trees,142.0291055494054,179.63766105227847
HistGradientBoosting,148.52405253845697,192.2935808957736
Random Forest,149.2208876348514,185.9929838436325
Ridge,157.8209235707049,195.63275129910545
Regressão Linear,237.58854901718772,291.40193642560325
